symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2025-01-29 12:00:00+00:00,102520.6655,102597.4,102520.6655,102597.4,0.0,0.0,102520.6655
BTC/USD,2025-01-29 12:05:00+00:00,102535.6,102685.513,102535.6,102685.513,0.0,0.0,102557.5175
BTC/USD,2025-01-29 12:10:00+00:00,102735.955,102735.955,102701.4425,102734.39,0.0,0.0,102735.955
BTC/USD,2025-01-29 12:15:00+00:00,102706.0435,102760.42,102674.8395,102704.523,0.0,0.0,102706.0435
BTC/USD,2025-01-29 12:20:00+00:00,102769.285,102769.285,102428.422,102428.422,0.0,0.0,102769.285
BTC/USD,2025-01-29 12:25:00+00:00,102405.982,102405.982,102405.982,102405.982,0.0,0.0,102405.982
BTC/USD,2025-01-29 12:30:00+00:00,102441.409,102527.218,102419.1965,102419.1965,0.0001,1.0,102527.218
BTC/USD,2025-01-29 12:35:00+00:00,102359.61,102359.61,102258.756,102321.6685,0.0,0.0,102359.61
BTC/USD,2025-01-29 12:40:00+00:00,102284.15,102338.183,102214.25,102338.183,0.0,0.0,102249.2
BTC/USD,2025-01-29 12:45:00+00:00,102411.0,102411.0,102266.45,102359.762,0.005700789,1.0,102411.0
BTC/USD,2025-01-29 12:50:00+00:00,102323.903,102367.7,102294.82,102294.82,0.004752667,1.0,102367.7
BTC/USD,2025-01-29 12:55:00+00:00,102252.55,102252.55,102185.8,102188.1465,0.0,0.0,102252.55
BTC/USD,2025-01-29 13:00:00+00:00,102262.999,102287.785,102085.263,102085.263,0.0,0.0,102199.1445
BTC/USD,2025-01-29 13:05:00+00:00,102016.625,102045.185,101883.22,102045.185,0.0,0.0,101996.0795
BTC/USD,2025-01-29 13:10:00+00:00,102083.1375,102133.2855,102034.053,102133.2855,0.0,0.0,102058.59525
BTC/USD,2025-01-29 13:15:00+00:00,102094.378,102094.378,101809.085,101809.085,0.00098,1.0,101938.096
BTC/USD,2025-01-29 13:20:00+00:00,101871.7635,101936.7975,101838.505,101838.505,0.000954617,1.0,101929.721
BTC/USD,2025-01-29 13:25:00+00:00,101894.6275,101929.43,101803.4,101904.9,0.000887701,1.0,101929.43
BTC/USD,2025-01-29 13:30:00+00:00,101852.9,101901.025,101742.1,101855.7525,0.0,0.0,101797.5
BTC/USD,2025-01-29 13:35:00+00:00,101817.206,102063.7735,101817.206,102012.9125,0.0,0.0,101847.91125
BTC/USD,2025-01-29 13:40:00+00:00,101967.054,102007.148,101915.4875,101967.2095,0.0,0.0,101950.24625
BTC/USD,2025-01-29 13:45:00+00:00,102030.951,102030.951,101802.8685,101802.8685,0.0,0.0,101999.6805
BTC/USD,2025-01-29 13:50:00+00:00,101747.02,101808.095,101708.2655,101756.635,0.0,0.0,101727.64275
BTC/USD,2025-01-29 13:55:00+00:00,101817.847,101843.51,101756.635,101843.51,0.001404829,1.0,101817.847
BTC/USD,2025-01-29 14:00:00+00:00,101805.04,101923.65,101798.75,101798.75,0.000496046,1.0,101923.65
BTC/USD,2025-01-29 14:05:00+00:00,101742.165,101902.96,101742.165,101902.96,0.0,0.0,101742.165
BTC/USD,2025-01-29 14:10:00+00:00,101968.1,102018.3545,101931.98,101954.65,0.0,0.0,101968.1
BTC/USD,2025-01-29 14:15:00+00:00,101921.125,101979.59,101921.125,101979.59,0.0,0.0,101921.125
BTC/USD,2025-01-29 14:20:00+00:00,102030.093,102064.7945,102030.093,102064.7945,0.0,0.0,102047.44375
